datetime,EVI,label1,label2
2005/1/1,0.4311,0,0
2005/1/17,0.4256,0,0
2005/2/2,0.4178,0,0
2005/2/18,0.4135,0,0
2005/3/6,0.355,0,0
2005/3/22,0.359,0,0
2005/4/7,0.3122,0,0
2005/4/23,0.3487,0,0
2005/5/9,0.3464,0,0
2005/5/25,0.3664,0,0
2005/6/10,0.3203,0,0
2005/6/26,0.313,0,0
2005/7/12,0.3019,0,0
2005/7/28,0.3024,0,0
2005/8/13,0.3094,0,0
2005/8/29,0.3253,0,0
2005/9/14,0.3187,0,0
2005/9/30,0.3292,0,0
2005/10/16,0.3437,0,0
2005/11/1,0.3571,0,0
2005/11/17,0.3583,0,0
2005/12/3,0.3933,0,0
2005/12/19,0.3839,0,0
2006/1/1,0.4061,0,0
2006/1/17,0.3937,0,0
2006/2/2,0.3446,0,0
2006/2/18,0.4347,0,0
2006/3/6,0.3154,0,0
2006/3/22,0.3194,0,0
2006/4/7,0.305,0,0
2006/4/23,0.3223,0,0
2006/5/9,0.3395,0,0
2006/5/25,0.3398,0,0
2006/6/10,0.3458,0,0
2006/6/26,0.3444,0,0
2006/7/12,0.3596,0,0
2006/7/28,0.3204,0,0
2006/8/13,0.3004,0,0
2006/8/29,0.3252,0,0
2006/9/14,0.3235,0,0
2006/9/30,0.3313,0,0
2006/10/16,0.3951,0,0
2006/11/1,0.384,0,0
2006/11/17,0.463,0,0
2006/12/3,0.5046,0,0
2006/12/19,0.3876,0,0
2007/1/1,0.4703,0,0
2007/1/17,0.3869,0,0
2007/2/2,0.3756,0,0
2007/2/18,0.334,0,0
2007/3/6,0.3164,0,0
2007/3/22,0.3086,0,0
2007/4/7,0.3173,0,0
2007/4/23,0.3428,0,0
2007/5/9,0.3592,0,0
2007/5/25,0.3551,0,0
2007/6/10,0.3778,0,0
2007/6/26,0.3678,0,0
2007/7/12,0.3223,0,0
2007/7/28,0.3608,0,0
2007/8/13,0.3551,0,0
2007/8/29,0.3372,0,0
2007/9/14,0.3934,0,0
2007/9/30,0.3707,0,0
2007/10/16,0.3869,0,0
2007/11/1,0.3986,0,0
2007/11/17,0.4672,0,0
2007/12/3,0.453,0,0
2007/12/19,0.453,0,0
2008/1/1,0.4844,0,0
2008/1/17,0.399,0,0
2008/2/2,0.3723,0,0
2008/2/18,0.4276,0,0
2008/3/5,0.3524,0,0
2008/3/21,0.3184,0,0
2008/4/6,0.3305,0,0
2008/4/22,0.2724,0,0
2008/5/8,0.3317,0,0
2008/5/24,0.3595,0,0
2008/6/9,0.2799,0,0
2008/6/25,0.3009,0,0
2008/7/11,0.3348,0,0
2008/7/27,0.3369,0,0
2008/8/12,0.337,0,0
2008/8/28,0.3217,0,0
2008/9/13,0.3378,0,0
2008/9/29,0.3527,0,0
2008/10/15,0.3742,0,0
2008/10/31,0.4422,0,0
2008/11/16,0.4111,0,0
2008/12/2,0.4351,0,0
2008/12/18,0.4186,0,0
2009/1/1,0.4041,0,0
2009/1/17,0.3808,0,0
2009/2/2,0.3667,0,0
2009/2/18,0.3472,0,0
2009/3/6,0.3137,0,0
2009/3/22,0.3306,0,0
2009/4/7,0.3755,0,0
2009/4/23,0.323,0,0
2009/5/9,0.3133,0,0
2009/5/25,0.2975,0,0
2009/6/10,0.3455,0,0
2009/6/26,0.2954,0,0
2009/7/12,0.3016,0,0
2009/7/28,0.0681,1,0
2009/8/13,0.0663,0,0
2009/8/29,0.069,0,0
2009/9/14,0.0785,0,0
2009/9/30,0.0852,0,0
2009/10/16,0.0866,0,0
2009/11/1,0.0954,0,0
2009/11/17,0.0936,0,0
2009/12/3,0.0981,0,0
2009/12/19,0.113,0,0
2010/1/1,0.113,0,0
2010/1/17,0.0801,0,0
2010/2/2,0.1136,0,0
2010/2/18,0.061,0,0
2010/3/6,0.0792,0,0
2010/3/22,0.0857,0,0
2010/4/7,0.0828,0,0
2010/4/23,0.1069,0,0
2010/5/9,0.1214,0,0
2010/5/25,0.1287,0,0
2010/6/10,0.1571,0,0
2010/6/26,0.1396,0,0
2010/7/12,0.1335,0,0
2010/7/28,0.1243,0,0
2010/8/13,0.1239,0,0
2010/8/29,0.1305,0,0
2010/9/14,0.1727,0,0
2010/9/30,0.1611,0,0
2010/10/16,0.1557,0,0
2010/11/1,0.1769,0,0
2010/11/17,0.218,0,0
2010/12/3,0.1949,0,0
2010/12/19,0.2099,0,0
