datetime,EVI,label1,label2
2014/1/1,0.2529,0,0
2014/1/17,0.2903,0,0
2014/2/2,0.3215,0,0
2014/2/18,0.3166,0,0
2014/3/6,0.2725,0,0
2014/3/22,0.3026,0,0
2014/4/7,0.2907,0,0
2014/4/23,0.3058,0,0
2014/5/9,0.331,0,0
2014/5/25,0.2947,0,0
2014/6/10,0.2917,0,0
2014/6/26,0.2777,0,0
2014/7/12,0.2969,0,0
2014/7/28,0.2682,0,0
2014/8/13,0.2722,0,0
2014/8/29,0.2761,0,0
2014/9/14,0.255,0,0
2014/9/30,0.2813,0,0
2014/10/16,0.2895,0,0
2014/11/1,0.2474,0,0
2014/11/17,0.2776,0,0
2014/12/3,0.1695,0,0
2014/12/19,0.262,0,0
2015/1/1,0.2798,0,0
2015/1/17,0.3149,0,0
2015/2/2,0.2523,0,0
2015/2/18,0.2739,0,0
2015/3/6,0.287,0,0
2015/3/22,0.2882,0,0
2015/4/7,0.2767,0,0
2015/4/23,0.3016,0,0
2015/5/9,0.291,0,0
2015/5/25,0.3321,0,0
2015/6/10,0.3227,0,0
2015/6/26,0.2954,0,0
2015/7/12,0.3239,0,0
2015/7/28,0.2938,0,0
2015/8/13,0.303,0,0
2015/8/29,0.2893,0,0
2015/9/14,0.2719,0,0
2015/9/30,0.3032,0,0
2015/10/16,0.3145,0,0
2015/11/1,0.3058,0,0
2015/11/17,0.3639,0,0
2015/12/3,0.3582,0,0
2015/12/19,0.3144,0,0
2016/1/1,0.3262,0,0
2016/1/17,0.3105,0,0
2016/2/2,0.3974,0,0
2016/2/18,0.3112,0,0
2016/3/5,0.3121,0,0
2016/3/21,0.3107,0,0
2016/4/6,0.3505,0,0
2016/4/22,0.2872,0,0
2016/5/8,0.3133,0,0
2016/5/24,0.3232,0,0
2016/6/9,0.2711,0,0
2016/6/25,0.2932,0,0
2016/7/11,0.2903,0,0
2016/7/27,0.2727,0,0
2016/8/12,0.2669,0,0
2016/8/28,0.2767,0,0
2016/9/13,0.2733,0,0
2016/9/29,0.2867,0,0
2016/10/15,0.2597,0,0
2016/10/31,0.2955,0,0
2016/11/16,0.3145,0,0
2016/12/2,0.2694,0,0
2016/12/18,0.2931,0,0
2017/1/1,0.3179,0,0
2017/1/17,0.249,0,0
2017/2/2,0.2666,0,0
2017/2/18,0.309,0,0
2017/3/6,0.329,0,0
2017/3/22,0.2811,0,0
2017/4/7,0.2864,0,0
2017/4/23,0.3056,0,0
2017/5/9,0.3472,0,0
2017/5/25,0.2522,0,0
2017/6/10,0.3019,0,0
2017/6/26,0.2793,0,0
2017/7/12,0.3327,0,0
2017/7/28,0.2839,0,0
2017/8/13,0.283,0,0
2017/8/29,0.2971,0,0
2017/9/14,0.2751,0,0
2017/9/30,0.2978,0,0
2017/10/16,0.3309,0,0
2017/11/1,0.2997,0,0
2017/11/17,0.331,0,0
2017/12/3,0.2563,0,0
2017/12/19,0.3343,0,0
2018/1/1,0.3191,0,0
2018/1/17,0.3067,0,0
2018/2/2,0.3001,0,0
2018/2/18,0.3076,0,0
2018/3/6,0.2721,0,0
2018/3/22,0.3082,0,0
2018/4/7,0.2968,0,0
2018/4/23,0.2917,0,0
2018/5/9,0.301,0,0
2018/5/25,0.2449,0,0
2018/6/10,0.2762,0,0
2018/6/26,0.3033,0,0
2018/7/12,0.2707,0,0
2018/7/28,0.089,1,0
2018/8/13,0.1072,0,0
2018/8/29,0.1118,0,0
2018/9/14,0.1051,0,0
2018/9/30,0.1168,0,0
2018/10/16,0.1407,0,0
2018/11/1,0.1375,0,0
2018/11/17,0.0591,0,0
2018/12/3,0.1193,0,0
2018/12/19,0.1118,0,0
2019/1/1,0.0988,0,0
2019/1/17,0.0961,0,0
2019/2/2,0.0973,0,0
2019/2/18,0.1168,0,0
2019/3/6,0.1064,0,0
2019/3/22,0.1693,0,0
2019/4/7,0.1736,0,0
2019/4/23,0.1568,0,0
2019/5/9,0.1673,0,0
2019/5/25,0.1485,0,0
2019/6/10,0.1689,0,0
2019/6/26,0.1399,0,0
2019/7/12,0.1541,0,0
2019/7/28,0.1467,0,0
2019/8/13,0.1378,0,0
2019/8/29,0.1395,0,0
2019/9/14,0.1433,0,0
2019/9/30,0.1254,0,0
2019/10/16,0.152,0,0
2019/11/1,0.1355,0,0
2019/11/17,0.1627,0,0
2019/12/3,0.2117,0,0
2019/12/19,0.2114,0,0
